id_questao;id_modulo;grupo;numero;dificuldade;enunciado;alternativa_correta;alternativa_a;alternativa_b;alternativa_c;alternativa_C;imagem
61;3;1;1;fácil;No Scrum, a Sprint é o evento central em torno do qual todo o trabalho é organizado. Qual alternativa define corretamente uma Sprint?;b;Uma fase final de testes;Um ciclo fixo de até um mês para criar um Incremento;Uma reunião de planejamento do projeto;Um período exclusivo de codificação;NULL
62;3;1;2;fácil;Qual evento do Scrum tem como objetivo planejar o trabalho a ser realizado durante a Sprint?;c;Sprint Review;Sprint Retrospective;Sprint Planning;Daily Scrum;NULL
63;3;1;3;fácil;A Daily Scrum ocorre com qual frequência?;c;Uma vez por Sprint;Duas vezes por semana;Diariamente;Apenas quando há problemas;NULL
64;3;1;4;média;O principal objetivo da Sprint Planning é:;b;Avaliar o desempenho do time;Definir o Sprint Goal e planejar como atingi-lo;Apresentar o Incremento ao cliente;Revisar problemas da Sprint anterior;NULL
65;3;1;5;média;Durante a Sprint Planning, quem participa obrigatoriamente do evento?;c;Apenas o Product Owner;Apenas os Developers;Todo o Scrum Team;Apenas o Scrum Master e o Product Owner;NULL
66;3;1;6;média;A Daily Scrum é um evento voltado principalmente para:;b;O Product Owner acompanhar o progresso;Os Developers inspecionarem o progresso em direção ao Sprint Goal;A validação formal do Incremento;A resolução de conflitos organizacionais;NULL
67;3;1;7;média;Qual artefato é mais diretamente inspecionado durante a Sprint Review?;c;Sprint Backlog;Product Backlog;Incremento;Definition of Done;NULL
68;3;1;8;difícil;Uma Sprint pode ser cancelada antes de seu término em qual situação?;c;Quando o Scrum Master identifica falhas técnicas;Quando os Developers não concluem as tarefas;Quando o Sprint Goal se torna obsoleto;Quando o cliente solicita mudanças;NULL
69;3;1;9;difícil;A ausência frequente do Product Owner na Sprint Review compromete principalmente:;a;A transparência e o feedback sobre o Incremento;A realização da Daily Scrum;O cumprimento do time-box;A auto-organização dos Developers;NULL
70;3;1;10;difícil;Quando a Daily Scrum é utilizada para resolver problemas técnicos detalhados, ocorre:;c;Um uso correto do evento;Um exemplo de adaptação ágil;Um desvio do objetivo do evento;Um benefício do empirismo;NULL
71;3;2;1;fácil;Qual evento do Scrum tem foco na inspeção do Incremento e coleta de feedback dos stakeholders?;c;Sprint Planning;Daily Scrum;Sprint Review;Sprint Retrospective;NULL
72;3;2;2;fácil;A Sprint Retrospective ocorre:;c;Antes da Sprint Planning;No início do projeto;Após a Sprint Review;Apenas ao final do projeto;NULL
73;3;2;3;fácil;Qual evento do Scrum é voltado à melhoria contínua do processo de trabalho do time?;b;Sprint Review;Sprint Retrospective;Sprint Planning;Daily Scrum;NULL
74;3;2;4;média;O principal resultado esperado da Sprint Review é:;b;Um relatório de desempenho individual;A atualização do Product Backlog com base no feedback;A definição da Definition of Done;O encerramento formal do projeto;NULL
75;3;2;5;média;Quem participa da Sprint Review?;c;Apenas o Scrum Team;Apenas o Product Owner e o cliente;Scrum Team e stakeholders relevantes;Apenas os Developers;NULL
76;3;2;6;média;A Sprint Retrospective tem como foco principal:;b;Avaliar o produto entregue;Identificar melhorias no processo, pessoas e ferramentas;Planejar o escopo da próxima Sprint;Validar requisitos com o cliente;NULL
77;3;2;7;média;Qual prática está mais alinhada com o objetivo da Sprint Retrospective?;b;Revisar código-fonte;Identificar ações de melhoria para a próxima Sprint;Repriorizar o Product Backlog;Medir velocidade da equipe;NULL
78;3;2;8;difícil;Quando a Sprint Review se transforma em uma reunião apenas de apresentação, sem diálogo, ocorre:;c;Um uso adequado do evento;Um aumento de produtividade;Uma perda de oportunidade de inspeção e adaptação;Um benefício do time-box;NULL
79;3;2;9;difícil;Ignorar sistematicamente a Sprint Retrospective pode resultar principalmente em:;b;Falhas no Product Backlog;Estagnação do processo de melhoria contínua;Atrasos na Daily Scrum;Problemas no Sprint Goal;NULL
80;3;2;10;difícil;No Scrum, todos os eventos existem principalmente para:;c;Controlar pessoas;Reduzir comunicação;Garantir transparência, inspeção e adaptação;Substituir documentação;NULL
81;3;3;1;fácil;Qual é a duração máxima recomendada para uma Sprint?;c;Uma semana;Duas semanas;Um mês;Três meses;NULL
82;3;3;2;fácil;Qual evento do Scrum possui time-box de 15 minutos?;d;Sprint Planning;Sprint Review;Sprint Retrospective;Daily Scrum;NULL
83;3;3;3;fácil;O Sprint Goal é definido em qual evento?;b;Sprint Review;Sprint Planning;Daily Scrum;Sprint Retrospective;NULL
84;3;3;4;média;O Sprint Goal tem como principal função:;b;Controlar o desempenho individual;Guiar e dar coerência ao trabalho da Sprint;Definir a arquitetura do sistema;Estimar custos do projeto;NULL
85;3;3;5;média;Se durante a Sprint surgir uma necessidade de ajuste no plano de trabalho, isso pode ocorrer:;c;Apenas com aprovação formal do cliente;Apenas na próxima Sprint;Desde que o Sprint Goal seja respeitado;Somente pelo Scrum Master;NULL
86;3;3;6;média;A inspeção diária do progresso em relação ao Sprint Goal ocorre principalmente na:;c;Sprint Review;Sprint Planning;Daily Scrum;Sprint Retrospective;NULL
87;3;3;7;média;Qual evento encerra formalmente uma Sprint?;d;Sprint Planning;Daily Scrum;Sprint Review;Sprint Retrospective;NULL
88;3;3;8;difícil;Uma equipe frequentemente não atinge o Sprint Goal, mas mantém todas as cerimônias. Esse cenário indica principalmente:;b;Excesso de eventos;Falha no planejamento ou na inspeção;Uso correto do Scrum;Falta de Product Backlog;NULL
89;3;3;9;difícil;Quando o Sprint Goal deixa de orientar as decisões do time durante a Sprint, o principal risco é:;b;Aumento da documentação;Perda de foco e valor entregue;Redução do time-box;Excesso de reuniões;NULL
90;3;3;10;difícil;A existência de time-boxes nos eventos do Scrum tem como principal objetivo:;c;Reduzir custos;Limitar a comunicação;Promover foco, previsibilidade e disciplina;Acelerar a codificação;NULL
91;4;1;1;fácil;Em ambientes ágeis, a prática de Integração Contínua (CI) é amplamente utilizada. Qual é o principal objetivo da Integração Contínua?;b;Aumentar a documentação do projeto;Integrar e testar frequentemente o código produzido;Reduzir o número de desenvolvedores;Postergar testes para o final do projeto;NULL
92;4;1;2;fácil;O Kanban é uma abordagem ágil que enfatiza principalmente:;b;Papéis e eventos fixos;Fluxo contínuo de trabalho;Sprints com duração fixa;Planejamento de longo prazo;NULL
93;4;1;3;fácil;A Definition of Done (DoD) está diretamente relacionada a qual aspecto?;b;Prazo do projeto;Qualidade do Incremento;Custo do desenvolvimento;Hierarquia da equipe;NULL
94;4;1;4;média;Uma das práticas fundamentais do Kanban é o uso de limites de WIP (Work In Progress). Qual é o principal objetivo desses limites?;b;Aumentar a quantidade de tarefas iniciadas;Controlar o fluxo e evitar sobrecarga;Eliminar a necessidade de planejamento;Substituir métricas de desempenho;NULL
95;4;1;5;média;Em um contexto ágil, a Dívida Técnica refere-se a:;c;Custos financeiros do projeto;Falhas de infraestrutura;Decisões técnicas inadequadas que geram retrabalho futuro;Erros de usuários finais;NULL
96;4;1;6;média;Qual métrica ágil indica o tempo médio necessário para que um item seja concluído após o início de seu desenvolvimento?;c;Velocity;Lead Time;Cycle Time;Burndown;NULL
97;4;1;7;média;A imagem abaixo apresenta um quadro Kanban utilizado por uma equipe de desenvolvimento. Observa-se que a coluna “Teste” possui poucos cartões, enquanto a coluna “Em Desenvolvimento” apresenta vários itens acumulados. Além disso, não há indicação visual clara de limites de WIP no quadro. Considerando os princípios do Kanban, qual ação seria mais adequada para melhorar o fluxo de trabalho da equipe?;b;Incentivar a equipe a iniciar ainda mais tarefas para aumentar a velocidade;Definir e respeitar limites de WIP, evitando iniciar novas tarefas antes de concluir as existentes;Eliminar a coluna “Teste” para simplificar o fluxo;Transferir automaticamente todos os cartões de “Em Desenvolvimento” para “Concluído”;questao_97.png
98;4;1;8;difícil;Uma equipe ágil entrega funcionalidades rapidamente, mas acumula muitos problemas técnicos não resolvidos. Esse cenário indica principalmente:;c;Uso inadequado de métricas;Ausência de Definition of Ready;Acúmulo de dívida técnica;Excesso de retrospectivas;NULL
99;4;1;9;difícil;A métrica Velocity deve ser utilizada principalmente para:;c;Comparar o desempenho entre equipes diferentes;Avaliar desempenho individual;Apoiar previsões internas da própria equipe;Medir qualidade do código;NULL
100;4;1;10;difícil;Quando métricas ágeis são usadas para punir equipes, o efeito mais provável é:;c;Diminuição da transparência;Mudança contínua do processo;Distorção dos dados e perda de confiança;Redução da necessidade de retrospectivas;NULL
101;4;2;1;fácil;O Burndown Chart é uma ferramenta utilizada para:;b;Medir a qualidade do código;Acompanhar o trabalho restante ao longo do tempo;Avaliar desempenho individual;Controlar custos financeiros;NULL
102;4;2;2;fácil;Qual prática ágil está mais diretamente associada à Entrega Contínua (CD)?;b;Entregar o software apenas ao final do projeto;Automatizar o processo de deploy;Evitar testes automatizados;Congelar requisitos;NULL
103;4;2;3;fácil;A refatoração tem como principal objetivo:;b;Adicionar novas funcionalidades;Melhorar a estrutura interna do código sem alterar seu comportamento;Reduzir a documentação;Aumentar o tamanho do sistema;NULL
104;4;2;4;média;Qual métrica é mais adequada para analisar o fluxo contínuo em Kanban?;b;Velocity;Lead Time;Pontos de história;Sprint Goal;NULL
105;4;2;5;média;A Definition of Done contribui diretamente para:;b;Aumentar a velocidade da equipe;Garantir consistência de qualidade entre incrementos;Eliminar testes automatizados;Reduzir a comunicação;NULL
106;4;2;6;média;Em ambientes ágeis, a melhoria contínua da qualidade é fortemente apoiada por:;b;Documentação extensa;Retrospectivas e refatoração;Controle rígido da gerência;Redução de feedback;NULL
107;4;2;7;média;Uma equipe de desenvolvimento utiliza o quadro Kanban ilustrado abaixo para gerenciar seu fluxo de trabalho. Observa-se que a coluna “Em Desenvolvimento” possui um número significativamente maior de cartões do que as demais colunas, enquanto as colunas seguintes apresentam poucos itens concluídos. Com base nos princípios do Kanban, a análise mais adequada dessa situação é:;b;A equipe está demonstrando alta produtividade, pois iniciou muitas tarefas simultaneamente;O quadro indica um gargalo no fluxo de trabalho, possivelmente causado pela ausência ou violação de limites de WIP;O excesso de cartões em “Em Desenvolvimento” é esperado em fluxos ágeis;A situação indica que o Kanban está sendo corretamente aplicado, priorizando velocidade;questao_107.png
108;4;2;8;difícil;Comparar Velocities de equipes diferentes é inadequado porque:;c;Cada equipe utiliza métricas distintas;Velocity é uma métrica financeira;Velocity depende do contexto e das estimativas da própria equipe;Velocity mede apenas qualidade;NULL
109;4;2;9;difícil;Quando a refatoração é constantemente adiada, o risco mais significativo é:;b;Redução do escopo;Aumento da dívida técnica;Perda do Sprint Goal;Excesso de planejamento;NULL
110;4;2;10;difícil;A ausência de testes automatizados em um ambiente de integração contínua tende a:;c;Acelerar entregas com qualidade;Reduzir riscos;Aumentar falhas e retrabalho;Eliminar a necessidade de métricas;NULL
111;4;3;1;fácil;O Cycle Time mede:;c;O tempo total desde a solicitação até a entrega;O tempo de execução de uma Sprint;O tempo que um item leva em desenvolvimento;A duração das reuniões;NULL
112;4;3;2;fácil;Qual prática contribui diretamente para a redução de defeitos em ambientes ágeis?;a;Testes automatizados frequentes;Aumento da documentação;Redução de feedback;Planejamento rígido;NULL
113;4;3;3;fácil;Em Kanban, um gargalo ocorre quando:;c;Há poucas tarefas em andamento;O fluxo de trabalho é equilibrado;Uma etapa acumula mais itens que as demais;Não existem limites de WIP;NULL
114;4;3;4;média;Considerando a representação dos gráficos abaixo e o objetivo de visualizar a evolução do trabalho concluído ao longo do tempo, qual deles é o mais indicado para essa finalidade?;b;Burndown Chart, pois ele demonstra o quanto de trabalho ainda resta;Burnup Chart, pois ele ilustra o progresso acumulado do trabalho realizado;Burndown Chart, que é uma ferramenta para identificar causas-raiz de problemas;Burnup Chart, que serve para definir responsabilidades em atividades ou decisões.;questao_114.png
115;4;3;5;média;A principal diferença entre Lead Time e Cycle Time é que:;a;Lead Time considera o tempo total desde a solicitação;Cycle Time mede o tempo até a entrega ao cliente;Ambos possuem o mesmo significado;Lead Time ignora filas;NULL
116;4;3;6;média;Uma equipe que busca alta qualidade em ambientes ágeis deve priorizar:;c;Entregas rápidas sem testes;Velocidade acima de tudo;Qualidade embutida no processo;Documentação extensa;NULL
117;4;3;7;média;A utilização adequada de métricas ágeis deve ter como foco principal:;b;Controle e recuperação;Transparência e melhoria contínua;Comparação entre equipes;Avaliação individual;NULL
118;4;3;8;difícil;Uma equipe apresenta alta velocidade, mas baixo valor percebido pelo cliente. Isso indica principalmente:;c;Uso correto de métricas;Falta de retrospectivas;Foco excessivo em velocidade em detrimento de valor;Excesso de testes;NULL
119;4;3;9;difícil;Em Kanban, melhorar o fluxo sem analisar gargalos pode resultar em:;c;Redução do Lead Time;Melhoria automática da qualidade;Otimização local sem ganho sistêmico;Eliminação de métricas;NULL
120;4;3;10;difícil;A qualidade em métodos ágeis é considerada:;c;Responsabilidade exclusiva do testador;Uma etapa final do projeto;Responsabilidade compartilhada por toda a equipe;Um fator secundário;NULL
121;5;1;1;fácil;Uma equipe ágil trabalha em Sprints e entrega incrementos frequentes ao cliente. Essa prática contribui principalmente para:;c;Eliminar a necessidade de planejamento;Aumentar a previsibilidade absoluta;Obter feedback rápido e reduzir riscos;Reduzir a comunicação com stakeholders;NULL
122;5;1;2;fácil;Durante o desenvolvimento de um sistema, o cliente solicita uma mudança de requisito após o início do projeto. Segundo os princípios ágeis, a melhor postura da equipe é:;c;Rejeitar a mudança automaticamente;Aceitar a mudança apenas no final do projeto;Avaliar a mudança e adaptar o plano;Manter o plano inicial sem alterações;NULL
123;5;1;3;fácil;Em um ambiente ágil, o Product Owner prioriza o backlog considerando principalmente:;c;Preferências pessoais;Complexidade técnica;Valor de negócio;Facilidade de implementação;NULL
124;5;1;4;média;Uma equipe frequentemente não consegue concluir tudo o que planejou para a Sprint. Qual ação é mais adequada segundo o Scrum?;c;Aumentar a duração da Sprint;Reduzir transparência nas estimativas;Ajustar planejamento e estimativas futuras;Eliminar o Sprint Goal;NULL
125;5;1;5;média;Durante uma Sprint Review, os stakeholders sugerem ajustes importantes no produto. Qual deve ser o próximo passo adequado?;b;Ignorar sugestões para não comprometer o plano;Atualizar o Product Backlog com base no feedback;Encerrar o projeto;Alterar imediatamente o Sprint Backlog da Sprint encerrada;NULL
